title,author,path,drive,topdir,folder,mtype,size_mb
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_02-Physics_for_Scientists_and_Engineers_4e-Giancoli.djvu,SOLEMON,BOOKLIBDATA,-- mit physics,image/vnd.djvu,27.32
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_06-Quantum_Physics_of_Atoms_Molecules_Solids_Nuclei_and_Particles-EisbergResnick.djvu,SOLEMON,BOOKLIBDATA,-- mit physics,image/vnd.djvu,58.26
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_068_321-Quantum_Mechanics_Vol_1-Tannoudji.djvu,SOLEMON,BOOKLIBDATA,-- mit physics,image/vnd.djvu,20.81
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_068_321-Quantum_Mechanics_Vol_2-Tannoudji.djvu,SOLEMON,BOOKLIBDATA,-- mit physics,image/vnd.djvu,15.17
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_07-Introduction_to_Electrodynamics_3e-Griffiths.pdf,SOLEMON,BOOKLIBDATA,-- mit physics,application/pdf,23.41
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_431J-Principles_Of_Nonlinear_Optics-Shen.pdf,SOLEMON,BOOKLIBDATA,-- mit physics,application/pdf,9.21
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_831J-Supersymmetry-Binetruy.djvu,SOLEMON,BOOKLIBDATA,-- mit physics,image/vnd.djvu,4.72
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_078_311-Classical_Electrodynamics_3e-Jackson.djvu,SOLEMON,BOOKLIBDATA,-- mit physics,image/vnd.djvu,6.85
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_08-Solutions_Manual_for_Introduction_to_Modern_Statistical_Mechanics-Chandler.pdf,SOLEMON,BOOKLIBDATA,-- mit physics,application/pdf,10.75
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_13-An_Introduction_to_Error_Analysis-Taylor.djvu,SOLEMON,BOOKLIBDATA,-- mit physics,image/vnd.djvu,21.91
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_231-Introduction_To_Solid_State_Physics_8e-Kittel.pdf,SOLEMON,BOOKLIBDATA,-- mit physics,application/pdf,87.58
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_311-Classical_Electrodynamics-SchwingerDeraadMiltonTsai.djvu,SOLEMON,BOOKLIBDATA,-- mit physics,image/vnd.djvu,28.37
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_311-The_Classical_Theory_of_Fields_4e-LandauLifshitz.djvu,SOLEMON,BOOKLIBDATA,-- mit physics,image/vnd.djvu,3.8
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_324-The_Quantum_Theory_of_Fields_Volume_2-Weinberg.djvu,SOLEMON,BOOKLIBDATA,-- mit physics,image/vnd.djvu,2.58
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_325-Gauge_Theories_in_Particle_Physics_2e-AitchisonHey.djvu,SOLEMON,BOOKLIBDATA,-- mit physics,image/vnd.djvu,20.97
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_325-QCD_and_Collider_Physics-EllisStirlingWebber.djvu,SOLEMON,BOOKLIBDATA,-- mit physics,image/vnd.djvu,3.86
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_333-Statistical_Mechanics-KengFung.djvu,SOLEMON,BOOKLIBDATA,-- mit physics,image/vnd.djvu,4.69
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_511--Principles_of_the_Theory_of_Solids-Ziman.djvu,SOLEMON,BOOKLIBDATA,-- mit physics,image/vnd.djvu,13.21
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_591-An_Introduction_to_Systems_Biology-Alon.pdf,SOLEMON,BOOKLIBDATA,-- mit physics,application/pdf,8.41
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_701-Introductory_Nuclear_Physics-Wong.djvu,SOLEMON,BOOKLIBDATA,-- mit physics,image/vnd.djvu,22.74
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_901-Stellar_Structure_and_Evolution-KippenhahnWeigert.pdf,SOLEMON,BOOKLIBDATA,-- mit physics,application/pdf,5.6
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_06-Modern_Quantum_Mechanics_2e_Solutions-Sakurai.pdf,SOLEMON,BOOKLIBDATA,-- mit physics,application/pdf,0.62
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_831J-Supersymmetry_and_supergravity-WessBagger.djvu,SOLEMON,BOOKLIBDATA,-- mit physics,image/vnd.djvu,1.68
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_325-Gauge_Theory_of_Elementary_Particle_Physics_-_Problems_and_Solutions-ChengLi.djvu,SOLEMON,BOOKLIBDATA,-- mit physics,image/vnd.djvu,2.24
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_286-The_First_Three_Minutes-Weinberg.djvu,SOLEMON,BOOKLIBDATA,-- mit physics,image/vnd.djvu,2.86
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_20-Introduction_to_special_relativity-Rindler.djvu,SOLEMON,BOOKLIBDATA,-- mit physics,image/vnd.djvu,1.28
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_431J-Nonlinear_Optics_-_Basic_Concepts-Mills.djvu,SOLEMON,BOOKLIBDATA,-- mit physics,image/vnd.djvu,1.56
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_851-Heavy_Quark_Physics-ManoharWise.pdf,SOLEMON,BOOKLIBDATA,-- mit physics,application/pdf,0.93
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_08-Introduction_to_Modern_Statistical_Mechanics-Chandler.djvu,SOLEMON,BOOKLIBDATA,-- mit physics,image/vnd.djvu,2.16
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_01-Physics_for_Engineers_and_Scientists-OhanianMarkert.djvu,SOLEMON,BOOKLIBDATA,-- mit physics,image/vnd.djvu,2.82
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_0338_20-Introduction_to_Special_Relativity-Resnick.djvu,SOLEMON,BOOKLIBDATA,-- mit physics,image/vnd.djvu,2.93
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_044-Equilibrium_thermodynamics-Adkins.djvu,SOLEMON,BOOKLIBDATA,-- mit physics,image/vnd.djvu,1.93
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_286-Introduction_to_cosmology-Ryden.djvu,SOLEMON,BOOKLIBDATA,-- mit physics,image/vnd.djvu,5.65
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_03-Vibrations_and_Waves-French.djvu,SOLEMON,BOOKLIBDATA,-- mit physics,image/vnd.djvu,3.41
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_0338_20-Special_relativity-French.djvu,SOLEMON,BOOKLIBDATA,-- mit physics,image/vnd.djvu,4.1
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_13-Data_Reduction_and_Error_Analysis_for_the_Physical_Sciences-BevingtonRobinson.djvu,SOLEMON,BOOKLIBDATA,-- mit physics,image/vnd.djvu,2.22
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_333-Statistical_physics_of_particles-Kardar.djvu,SOLEMON,BOOKLIBDATA,-- mit physics,image/vnd.djvu,2.93
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_831J-Modern_supersymmetry-Terning.djvu,SOLEMON,BOOKLIBDATA,-- mit physics,image/vnd.djvu,1.74
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_04-Principles_of_quantum_mechanics-Dirac.djvu,SOLEMON,BOOKLIBDATA,-- mit physics,image/vnd.djvu,5.13
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_04-Quantum_Physics-Gasiorowicz.djvu,SOLEMON,BOOKLIBDATA,-- mit physics,image/vnd.djvu,3.96
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_2768_701-Particles_and_Nuclei_6e-PovhRith.pdf,SOLEMON,BOOKLIBDATA,-- mit physics,application/pdf,3.57
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_06-Introduction_to_quantum_mechanics-Griffiths.djvu,SOLEMON,BOOKLIBDATA,-- mit physics,image/vnd.djvu,5.33
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_033-Exploring_black_holes_An_introduction_to_general_relativity-TaylorWheeler.djvu,SOLEMON,BOOKLIBDATA,-- mit physics,image/vnd.djvu,4.31
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_333-Huang_Statistical_Mechanics-Huang.djvu,SOLEMON,BOOKLIBDATA,-- mit physics,image/vnd.djvu,3.78
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_324-The_Quantum_Theory_of_Fields_Volume_3-Weinberg.djvu,SOLEMON,BOOKLIBDATA,-- mit physics,image/vnd.djvu,3.31
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_044-Heat_and_thermodynamics-ZemanskyDittman.djvu,SOLEMON,BOOKLIBDATA,-- mit physics,image/vnd.djvu,3.6
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_7018_811-Introduction_to_Elementary_Particles_2e-Griffiths.djvu,SOLEMON,BOOKLIBDATA,-- mit physics,image/vnd.djvu,5.69
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_04-Introductory_quantum_mechanics-Liboff.djvu,SOLEMON,BOOKLIBDATA,-- mit physics,image/vnd.djvu,4.39
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_01-An_introduction_to_mechanics-KleppnerKolenkow.djvu,SOLEMON,BOOKLIBDATA,-- mit physics,image/vnd.djvu,7.67
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_325-Gauge_Theory_of_Elementary_Particle_Physics-ChengLi.djvu,SOLEMON,BOOKLIBDATA,-- mit physics,image/vnd.djvu,5.44
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_431J-Nonlinear_Optics-Boyd.pdf,SOLEMON,BOOKLIBDATA,-- mit physics,application/pdf,3.9
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_028_07-Electricity_and_Magnetism-Purcell.djvu,SOLEMON,BOOKLIBDATA,-- mit physics,image/vnd.djvu,9.76
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_962-Spacetime_and_geometry_an_introduction_to_General_Relativity-Carroll.djvu,SOLEMON,BOOKLIBDATA,-- mit physics,image/vnd.djvu,4.84
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_068_321-Modern_Quantum_Mechanics_2e-Sakurai.pdf,SOLEMON,BOOKLIBDATA,-- mit physics,application/pdf,11.57
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_09-Mechanics-Scheck.pdf,SOLEMON,BOOKLIBDATA,-- mit physics,application/pdf,3.24
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_901-Black_holes_white_dwarfs_and_neutron_stars-ShapiroTeukolsky.djvu,SOLEMON,BOOKLIBDATA,-- mit physics,image/vnd.djvu,14.79
