folder,n,domain,knowledge
BOOKS5,501,False,False
pdfnews,354,False,False
AFG_DOC,297,False,False
Books_Geography,215,True,False
International Relations Theory,174,True,True
MUSE,172,False,False
Afghanistan Geopolitics and Security,142,True,False
Eurasianism2,116,True,False
cognitive_philiosophy,114,False,True
ingenta_afg,113,False,False
2022_MA-assignments,104,False,False
-- mit physics,93,False,False
AFGHANISTAN_SPECIFICBOOKS,88,True,False
Downloads7 Best of Math and Physics,82,False,False
jstor_afg,79,False,False
Afghanistan News and Analysis,76,True,False
Schaum_s Outline Books Collection,75,False,False
Arabic Script Characters Found,73,False,False
commissiondecision,71,False,False
articles,71,False,False
afg_elections,67,False,False
Afghanistan and International Relations,66,True,False
December 2011,66,False,False
ethnicity_religion,64,False,False
Mackinder,64,False,False
env_security,62,True,False
afp2,62,False,False
Notifications and Reports,61,False,False
Social Science Theories and Geography,61,True,False
AFGHAN2,60,True,False
SOUTHASIA_REPORTS,60,False,False
agri,59,False,False
Brill Handbook of Oriental Studies,57,True,False
Mysterious Military Communications,56,False,False
indiva,56,False,False
climatechange,55,False,False
Economic And Strategic Posture Studies,54,True,False
NLTK2,53,False,False
jstoretc,52,False,False
PAKISTAN,52,True,False
india afpolicy,49,False,False
SOUTH_ASIA,49,False,False
AFGHANISTAN,49,True,False
resources,47,False,False
China Foreign Policy Studies,46,True,False
modelcurriculum,46,False,True
January 2012,45,False,False
AFG_pdf,44,False,False
R_S_C,44,False,False
geoecnomics_articles,43,False,False
afghan elections,43,True,False
booksmaths,43,False,False
resources653,41,False,False
Advaita Vedanta and International Relations,41,True,False
statisticsbooks,40,False,False
e_r,40,False,False
greatpowerbooks,39,False,False
blackwell_afg,39,False,False
ANCIENT_INDIA,39,False,False
Kazakhstan Crisis Coverage,38,False,False
Economics Philosophy Islam Afghanistan,37,True,True
Afghanistan China Railway Cooperation,37,True,False
BONN,36,False,False
randombooks,36,False,False
Classical Political Philosophy,36,True,True
Indian Companies and People,36,False,False
ethnicityafghanistan,34,True,False
googlenews,34,False,False
new_muse_af,34,False,False
probabilitybooks,34,False,False
bagsofpdfprints2,34,False,False
Documents From Sensitive Regions,33,False,False
Computer Science Education Research and Methodology,33,False,True
BOOKS6,33,False,False
Ethnopolitics,33,True,False
bookskoko,32,False,False
borderstudies,32,False,False
Energy Security and Globalization,32,True,False
polgeog_bigbag,32,False,False
res_methods,31,False,True
Iran Nuclear Disputes and Terror,31,True,False
Statistical Analysis and Research Methods,31,False,True
BRI,31,True,False
Nationalism and ethnic politics,30,True,False
NASA Technical Publications and Research,30,False,False
China Market Tablets And Smartphones,28,True,False
e_r2,28,False,False
python,28,False,False
jstor_ir_afg,28,False,False
RIchardPhD,28,False,False
ugcdraft,28,False,False
GISbooks,28,False,False
buzanpapers,28,False,False
nepal,27,False,False
MPHIL2012B,27,False,False
KARZAI,27,False,False
sociology,26,False,True
BOOKS4,26,False,False
geop_crit reference bag,26,False,False
q_w_p,26,False,False
Anupam,26,False,False
zinnes,26,False,False
critgeopolitics,26,True,False
Chinese Economy and Governance,25,False,False
INDIAN ECONOMY AND POLICY,25,False,False
Currentreading,25,False,False
MAPS_GIS,25,False,False
Cotton_IndoPak,24,False,False
cyber_geopolitics,24,True,False
IR_Buzan,24,False,False
drone_waziristan,24,False,False
Central Asian Politics and History,24,True,False
nepal hydro,24,False,False
eigenstage,23,False,False
Manash,23,False,False
Security and Terrorism Evidence,23,True,False
Geopolitics and International Relations,23,True,False
CARs,22,False,False
rubber,22,False,False
afghan3,22,True,False
resources654,22,False,False
MPHIL2009B,22,False,False
Logistic_regression,21,False,False
multivariates,21,False,False
Resources,21,False,False
bangla,20,False,False
annualreport,20,False,False
iran,20,True,False
BOOKS3,20,False,False
Great game russian radio,20,True,False
articles_region,20,False,False
writeup,19,False,False
International Relations Theory and Practice,19,True,True
cupsnews,19,False,False
artuc,19,False,False
banglafarakka,19,False,False
methodological nationalism,19,False,True
Western Imperialism and Nationalism Studies,19,False,False
South Asia News and Politics,18,True,False
ENDSEM,18,False,False
sprout_sprout,18,False,False
Afghanistan and Belt and Road Initiative,18,True,False
geographyngeogprahers,18,True,False
stack1,18,False,False
books,18,False,False
greentrade,17,False,False
socialmedia_wars,17,True,False
Haokip,17,False,False
st2008b,17,False,False
Devendra,17,False,False
M.PHIL DISSERTATION 2013,17,False,False
Nepal,16,False,False
ethnofederalism,16,False,False
srilanka,16,False,False
sasiaadmunits,16,False,False
afgmineral,16,False,False
2014AFGRESOURCES,16,False,False
Sindhu,16,False,False
bigdata,16,False,False
Geopolitics and Global Governance,16,True,False
climatology,16,False,False
pakistan,16,True,False
general systems theory,15,False,True
haokip,15,False,False
