folder,dirpath,n
International Relations Theory,SOURCE_ARCHIVE/Winstore/BASE_ONE/International Relations Theory,154
Social Science Theories and Geography,SOURCE_ARCHIVE/PDFOPEDIA/Social Science Theories and Geography,61
Advaita Vedanta and International Relations,SOURCE_ARCHIVE/PDFOPEDIA/Advaita Vedanta and International Relations,41
Classical Political Philosophy,SOURCE_ARCHIVE/BOOKLIBRANDOM/Classical Political Philosophy,36
semiotics,SOURCE_ARCHIVE/Winstore/BASE_ONE/semiotics,36
Statistical Analysis and Research Methods,SOURCE_ARCHIVE/BOOKLIBRANDOM/Statistical Analysis and Research Methods,31
cognitive_philiosophy,SOURCE_ARCHIVE/BOOKLIBDATA/cognitive_philiosophy,26
res_methods,SOURCE_ARCHIVE/BOOKLIBDATA/res_methods,25
International Relations Theory and Practice,SOURCE_ARCHIVE/BOOKLIBDATA2/International Relations Theory and Practice,19
methodological nationalism,SOURCE_ARCHIVE/Winstore/BASE_ONE/methodological nationalism,19
general systems theory,SOURCE_ARCHIVE/BOOKLIBDATA2/general systems theory,16
AI_InternationalRelationstheory,SOURCE_ARCHIVE/AMBIJAT2GDRIVE/IRT_Realism/AI_InternationalRelationstheory,13
socialnetwork_analysis,SOURCE_ARCHIVE/BOOKLIBDATA/socialnetwork_analysis,11
