first_author,year,title,type,collections,tags,zotero_item_id,evidence_grade,verification_status,claim_use_allowed
Bijlert,2010.0,2010 Elections 20: What if the Hazaras win in Uruzgan? (updated) | Afghanistan Analysts Network,blogPost,afghan_elections,,ZOT_c3ed604f8598,metadata_only,unverified,bibliographic_inventory_only_until_verified
Wilder,2010.0,Footnotes to an AAN political parties blog | Afghanistan Analysts Network,blogPost,afghan_elections,,ZOT_aeeb782a5e12,metadata_only,unverified,bibliographic_inventory_only_until_verified
Ruttig,2010.0,2010 Elections 2: Political Parties at the Fringes Again | Afghanistan Analysts Network,blogPost,afghan_elections,,ZOT_253611522d54,metadata_only,unverified,bibliographic_inventory_only_until_verified
AAN Team,2010.0,Flash from the Past: Russian Advice on Afghanistan,blogPost,taliban,,ZOT_6453e1e4b883,metadata_only,unverified,bibliographic_inventory_only_until_verified
Ruttig,2014.0,From Point Zero to 'New Warmth': Russian-Afghan relations since 1989,blogPost,newspaper,,ZOT_5b843fc283f0,metadata_only,unverified,bibliographic_inventory_only_until_verified
Mohan,2015.0,Raja Mandala: Dargah diplomacy,blogPost,dargah_sharif,,ZOT_e62e3c86cc2e,metadata_only,unverified,bibliographic_inventory_only_until_verified
Kefalakos,2015.0,China is the first non-EU country to invest in Europe’s €315 billion Plan,blogPost,OBOR_train,,ZOT_de353473da04,metadata_only,unverified,bibliographic_inventory_only_until_verified
Ahmed,2015.0,America Turned Away Jewish Refugees Because Some Were Feared To Be Nazi Agents,blogPost,socialmedia,,ZOT_167d6f0b7950,metadata_only,unverified,bibliographic_inventory_only_until_verified
,2015.0,Afghanistan likely to receive Russia’s support in fight against terrorism,blogPost,taliban,,ZOT_1d32f5d5e5bd,metadata_only,unverified,bibliographic_inventory_only_until_verified
,2015.0,US should keep some bases open in Afghanistan beyond 2016: McCain,blogPost,taliban,,ZOT_65d1cea21e51,metadata_only,unverified,bibliographic_inventory_only_until_verified
,2016.0,Four nations call on Taliban to enter into early talks with Afghan govt,blogPost,taliban,,ZOT_a8db5e9062ef,metadata_only,unverified,bibliographic_inventory_only_until_verified
Adili,2017.0,Afghanistan's Incomplete New Electoral Law: Changes and controversies | Afghanistan Analysts Network,blogPost,afghan_elections,,ZOT_feb4b2b2eba8,metadata_only,unverified,bibliographic_inventory_only_until_verified
ANI,2017.0,Over 400 Pakistani pilgrims arrive India to visit Ajmer Sharif Dargah,blogPost,dargah_sharif,,ZOT_955831499e30,metadata_only,unverified,bibliographic_inventory_only_until_verified
,2017.0,Afghanistan-China-Pak Summit/Beijing to Back up Stability in Afghanistan,blogPost,taliban,,ZOT_be79056b064a,metadata_only,unverified,bibliographic_inventory_only_until_verified
,2017.0,This time in Oman; Afghanistan’s Quadrilateral Summit!,blogPost,taliban,,ZOT_ef890c75bfb3,metadata_only,unverified,bibliographic_inventory_only_until_verified
Corner,2017.0,No fear of the bear? Bilateral economic relations between Germany and Russia,blogPost,economicglobalism,,ZOT_964dbdc8702f,metadata_only,unverified,bibliographic_inventory_only_until_verified
European,2017.0,China's expansion of OBOR leaves Africa caught in a dilemma | GRI,blogPost,economicglobalism,,ZOT_9a557c24c88c,metadata_only,unverified,bibliographic_inventory_only_until_verified
Hussain,2017.0,Afghanistan as heart of Asia,blogPost,Afghanistan,,ZOT_97f6346b9a4c,metadata_only,unverified,bibliographic_inventory_only_until_verified
Ruttig,2018.0,Election Day One: A rural-urban divide emerging | Afghanistan Analysts Network,blogPost,afghan_elections,,ZOT_bdcd8dbb63ae,metadata_only,unverified,bibliographic_inventory_only_until_verified
Times Headline,2018.0,Pakistan Election: Pakistani candidates express urge to visit Ajmer Sharif,blogPost,dargah_sharif,,ZOT_57d40ddd84ab,metadata_only,unverified,bibliographic_inventory_only_until_verified
says,2018.0,Belt and Road Dispute Settlement and Transnational Governance,blogPost,BRI-EEU,,ZOT_7e16031a334f,metadata_only,unverified,bibliographic_inventory_only_until_verified
,2018.0,Implications of trade in Chinese Yuan under CPEC,blogPost,CPEC,,ZOT_4bc87b505b31,metadata_only,unverified,bibliographic_inventory_only_until_verified
,2018.0,Shahbaz Taseer Shows The Real Face Of Taliban Narrating An Incident From His Kidnapping!,blogPost,taliban,,ZOT_1b3794da4c3e,metadata_only,unverified,bibliographic_inventory_only_until_verified
Mehmood,2018.0,U.S. & Taliban Inch Closer To Peace Talks Despite ‘Insider Attacks’ On American Troops,blogPost,taliban,,ZOT_a5392db1031e,metadata_only,unverified,bibliographic_inventory_only_until_verified
,2018.0,Trilateral Conference on Afghan Peace to be Held in Indonesia: HPC,blogPost,taliban,,ZOT_bbf5ff6cf9f4,metadata_only,unverified,bibliographic_inventory_only_until_verified
,2018.0,Arabia to Host Quadrilateral Summit on Afghanistan this Week: HPC,blogPost,taliban,,ZOT_e59090ceb48b,metadata_only,unverified,bibliographic_inventory_only_until_verified
,2018.0,Quadrilateral Summit on Afghan Peace Held in Abu Dhabi,blogPost,taliban,,ZOT_7fffe26d3ca3,metadata_only,unverified,bibliographic_inventory_only_until_verified
,2018.0,"Maulana Sami ul Haq refuses to arbitrate between Afghan govt, Taliban",blogPost,taliban,,ZOT_5bf0cf8b71db,metadata_only,unverified,bibliographic_inventory_only_until_verified
,2018.0,Heavy clashes reported among Afghan forces and Taliban in Kunduz,blogPost,taliban,,ZOT_6125d203d69b,metadata_only,unverified,bibliographic_inventory_only_until_verified
Mark,2018.0,Singapore FTA Includes BRI,blogPost,BRI-EEU,,ZOT_b5cd3f4c406a,metadata_only,unverified,bibliographic_inventory_only_until_verified
,2018.0,Taliban revealed their real faces in Moscow summit: Afghan Senate,blogPost,taliban,,ZOT_a9ec57629e7b,metadata_only,unverified,bibliographic_inventory_only_until_verified
Palmer,2018.0,All hell breaks loose in the Trump-Russia scandal,blogPost,tweetlinks_TD1,,ZOT_6ea54a95817b,metadata_only,unverified,bibliographic_inventory_only_until_verified
Adili,2019.0,"Afghanistan's 2019 Election (24): Disputed recount, threats not to accept results, and some interesting new data | Afghanistan Analysts Network",blogPost,afghan_elections,,ZOT_80ee1a5cdb0a,metadata_only,unverified,bibliographic_inventory_only_until_verified
Twitter@pajhwok,2019.0,Two people charged with robbery were flogged by the #Taliban Ghor province.  #Afghanistan - Pajhwok Afghan News,blogPost,taliban,,ZOT_b8b94e89287c,metadata_only,unverified,bibliographic_inventory_only_until_verified
editor,2019.0,China’s Belt and Road Initiative (BRI) and Nigeria’s Memorandum of Understanding on the BRI,blogPost,BRI-EEU,,ZOT_cdec0bc80831,metadata_only,unverified,bibliographic_inventory_only_until_verified
,2019.0,Uzbekistan plans to build first commercial nuclear reactor,blogPost,uzbekistan,,ZOT_d36902963f0e,metadata_only,unverified,bibliographic_inventory_only_until_verified
Omirtai 1993,2019.0,"Atomic Energy: Peaceful atom, new dimension of Kazakh-Uzbek relations",blogPost,uzbekistan,,ZOT_31ef4714c013,metadata_only,unverified,bibliographic_inventory_only_until_verified
,2019.0,The Department of Defense's New Indo-Pacific Strategy,blogPost,Geopolitics,,ZOT_354d0de96dd4,metadata_only,unverified,bibliographic_inventory_only_until_verified
,2019.0,"Marc A. Thiessen: United States can’t stop fighting terrorists in Afghanistan, Syria now",blogPost,taliban,,ZOT_87b3e4b4502c,metadata_only,unverified,bibliographic_inventory_only_until_verified
,2019.0,Taliban call Constitution obstacle to peace as Moscow conference kicks off,blogPost,taliban,,ZOT_55cbdbe28671,metadata_only,unverified,bibliographic_inventory_only_until_verified
,2019.0,"Taliban: Gani, Amerikan Köleliğinde Birinciliği Kazandı",blogPost,taliban,,ZOT_2d50129b3bf4,metadata_only,unverified,bibliographic_inventory_only_until_verified
Newsbaycomng,2019.0,"Obaseki’s Industrialisation Drive Receives Fresh Impetus From China’s Belt, Road Initiative • Newsbay",blogPost,BRI-EEU,,ZOT_7291e70bd044,metadata_only,unverified,bibliographic_inventory_only_until_verified
Remyga,2019.0,Project of the century: How the Belt and Road initiative will impact the Eurasian region,blogPost,BRI-EEU,,ZOT_75fd5586ce97,metadata_only,unverified,bibliographic_inventory_only_until_verified
Geropoulos,2019.0,The amended Gas Directive will cover both internal EU gas pipelines as well as all gas pipelines from non-EU countries into the EU,blogPost,russiapipelines,,ZOT_b9f6fa8d328b,metadata_only,unverified,bibliographic_inventory_only_until_verified
Wood,2019.0,"Hypocrisy: Merkel Defends Iran Deal For EU Profits, Wants US Troops To Stay In Syria, While Germany Pays Little For Defense And Gives Energy Security To Russia With Nord Stream II",blogPost,russiapipelines,,ZOT_7dda0e7d9da9,metadata_only,unverified,bibliographic_inventory_only_until_verified
,2019.0,Perché il compromesso Macron-Merkel sul Nord Stream 2 soddisfa la Germania,blogPost,russiapipelines,,ZOT_185e3914fa24,metadata_only,unverified,bibliographic_inventory_only_until_verified
Reporters,2019.0,Russia warns EU not to hamper Nord Stream,blogPost,russiapipelines,,ZOT_cea89e03d96b,metadata_only,unverified,bibliographic_inventory_only_until_verified
Gotev,2019.0,Normandy summit upholds 'Steinmeier formula' for Eastern Ukraine,blogPost,Mackinder,,ZOT_ef90aa5bf480,metadata_only,unverified,bibliographic_inventory_only_until_verified
@RadioPakistan,2019.0,"We repeatedly asked to India for actionable evidence:"" Prime Minister  @ImranKhanPTI  https://pscp.tv/w/1PlJQymzWRdJE",blogPost,securitycomplex,,ZOT_ca56ebba2b0e,metadata_only,unverified,bibliographic_inventory_only_until_verified
@FaezaDawood,2019.0,"PM of Pakistan: “If India Attacks Pakistan in ANY way, Pakistan will not think to retaliate...Pakistan WILL retaliate” My take on his address (Part 3)",blogPost,securitycomplex,,ZOT_ffd9c1d83145,metadata_only,unverified,bibliographic_inventory_only_until_verified
Pieraccini,2019.0,Nuclear War vs. Belt and Road Initiative: Why China Will Prevail,blogPost,GreatPowers,,ZOT_9d12b565e705,metadata_only,unverified,bibliographic_inventory_only_until_verified
Durrani,2019.0,Is conflict-ridden Afghanistan deterring regional connectivity?,blogPost,taliban2,,ZOT_94191f02111b,metadata_only,unverified,bibliographic_inventory_only_until_verified
Malalai,2019.0,@MalalaiBashir,blogPost,taliban2,,ZOT_4cf1accc0d1f,metadata_only,unverified,bibliographic_inventory_only_until_verified
PTI,2019.0,Pakistan high commissioner offers prayers at Ajmer Sharif,blogPost,dargah_sharif,,ZOT_94a052a1466b,metadata_only,unverified,bibliographic_inventory_only_until_verified
Staff,2020.0,"FM Zarif, UN Chief Discuss Afghanistan Developments",blogPost,Afghanistan,,ZOT_c259f9d5e6a8,metadata_only,unverified,bibliographic_inventory_only_until_verified
