folder,file,title,axis,thesis,concepts,bridge_claim_status,required_next_evidence,claim_use_allowed
International Relations Theory,Agency Structure and International Politics From Ontology to Empirical Enquiry.pdf,"Agency, Structure, and International Politics: From Ontology to Empirical Inquiry",theory,"The causal interrelationship of agency and structure in international politics requires autonomous definitions with explicit parameters of variability, necessitating a methodological individualist framework that accounts for how socio-political contexts shape elite decision-making.",agent-structure problem; opportunity and willingness; structuration theory; methodological individualism; ontology of international systems; elite choice-processes,provisional_unverified,frontmatter_or_chapter_sample,hypothesis_only_not_scholarly_evidence
International Relations Theory,Agents structures & international relations.pdf,"Agents, Structures and International Relations: Politics as Ontology",theory,"The agent–structure problem in IR theory can only be adequately understood through ontological analysis, revealing that fundamental gaps in competing IR theories stem from differing metaphysical assumptions about the nature of existence and reality.",agent–structure problem; ontology and IR theory; agency and structure; theoretical foundations of IR; politics as ontology,provisional_unverified,frontmatter_or_chapter_sample,hypothesis_only_not_scholarly_evidence
International Relations Theory,American foreign policy  alliance politics in a century of war 1914-2014.pdf,"American Foreign Policy: Alliance Politics in a Century of War, 1914–2014",empirical,"American foreign policy from 1914 to 2014 has been fundamentally shaped by alliance networks, whose effectiveness in achieving strategic objectives has varied significantly across major conflicts from World War I through the post-Cold War era.",Alliance networks and coalitions; American internationalism and isolationism; Containment strategy; Cold War geopolitics; Rogue state deterrence; Counterterrorism partnerships,provisional_unverified,frontmatter_or_chapter_sample,hypothesis_only_not_scholarly_evidence
International Relations Theory,An Introduction to Dialectics Theodor W Adorno.pdf,An Introduction to Dialectics,theory,"Dialectics is a philosophical method of thought that articulates the dynamic, mediated movement of concepts and reality through determinate negation and the unity of identity and non-identity, rejecting both positivism and foundationalist metaphysics.",Dialectical method; Mediation and non-identity; Determinate negation; Movement of the concept; The whole as result; Critique of positivism,provisional_unverified,frontmatter_or_chapter_sample,hypothesis_only_not_scholarly_evidence
International Relations Theory,Balance_of_Power.pdf,Balance of Power: Theory and Practice in the 21st Century,mixed,"An examination of how balance-of-power theory explains state behavior and international stability in contemporary geopolitics, including its application to post-Cold War security challenges and regional subsystems.",balance of power; great power politics; hegemony; regional security subsystems; balancing and bandwagoning; power transition; weapons of mass destruction,provisional_unverified,frontmatter_or_chapter_sample,hypothesis_only_not_scholarly_evidence
International Relations Theory,Barry_Buzan_George_Lawson_The_Global_Transforma.pdf,"The Global Transformation: History, Modernity and the Making of International Relations",mixed,"The 'long nineteenth century' (1776–1914) witnessed multiple political, economic, military and cultural revolutions that fundamentally reconstituted both domestic and international societies, creating the material and ideational foundations of modern international relations and establishing a power gap between those who harnessed modernity and those denied access to it.","global modernity; long nineteenth century; power gap between developed and developing states; multiple revolutions (political, economic, military, cultural); world history and international relations; international order",provisional_unverified,frontmatter_or_chapter_sample,hypothesis_only_not_scholarly_evidence
International Relations Theory,Barry_Buzan_and_Lene_Hansen_The_Evolution_of_International Security Studies.pdf,The Evolution of International Security Studies,theory,"International Security Studies has evolved from Cold War focus on superpower rivalry and nuclear weapons to a diverse field encompassing environmental, economic, human, and other securities, incorporating approaches from Realism to Feminism and Post-colonialism.",security diversification; Cold War strategic studies; theoretical pluralism; driving forces framework; disciplinary boundaries,provisional_unverified,frontmatter_or_chapter_sample,hypothesis_only_not_scholarly_evidence
International Relations Theory,Building_Regions.pdf,Building Regions: The Regionalization of the World Order,theory,"Regionalism is reshaping the international system as an intermediate level of governance between states and the global order, challenging traditional state-centric international relations.",regionalism; regional integration; state sovereignty; global governance; geopolitical identity; international organization,provisional_unverified,frontmatter_or_chapter_sample,hypothesis_only_not_scholarly_evidence
International Relations Theory,Causation_in_IR.pdf,Causation in International Relations: Reclaiming Causal Analysis,theory,"Causal analysis in International Relations rests on problematic deterministic, mechanistic, and empiricist assumptions; reinterpreting causation's meaning, aims, and methods enables multi-causal and methodologically pluralist scholarship.",causal analysis; Humean philosophy of causation; determinism and mechanism; methodological pluralism; world political processes,provisional_unverified,frontmatter_or_chapter_sample,hypothesis_only_not_scholarly_evidence
International Relations Theory,Charm Offensive How Chinas Soft Power Is Transforming the World.pdf,Charm Offensive: How China's Soft Power Is Transforming the World,empirical,"China is systematically deploying soft power—cultural, business, and diplomatic tools—to expand its global influence and reshape international relations, particularly in Asia where it is displacing American dominance.",soft power; China's international influence; cultural diplomacy; business engagement; regional hegemony shift,provisional_unverified,frontmatter_or_chapter_sample,hypothesis_only_not_scholarly_evidence
