corpus_item_id,title_candidate,author_candidate,filename,path_norm,ext,mime_or_ext,size_bytes,size_mb,topdir,folder,source_solemon_crawl,source_recoll_manifest,dedupe_key,duplicate_group_size,is_duplicate_candidate,corpus_class_preliminary,evidence_grade,verification_status,claim_use_allowed,notes
DOC_fb26859706f0,Siddharth Nagar_Bijli_Paani,,Siddharth Nagar_Bijli_Paani.pdf,SOURCE_ARCHIVE/AMBIJAT2GDRIVE/Siddharth Nagar_Bijli_Paani.pdf,.pdf,.pdf,6983898,6.66,AMBIJAT2GDRIVE,AMBIJAT2GDRIVE,True,False,siddharth nagar_bijli_paani.pdf|6983898,1,False,Noise,metadata_only,unverified,inventory_only_until_verified,Preliminary takeover register generated from inherited artifacts; no full-text verification performed in this run.
DOC_9256087eee82,1404635706,,1404635706.pdf,SOURCE_ARCHIVE/AMBIJAT2GDRIVE/1404635706.pdf,.pdf,.pdf,133920,0.13,AMBIJAT2GDRIVE,AMBIJAT2GDRIVE,True,False,1404635706.pdf|133920,1,False,Peripheral,metadata_only,unverified,inventory_only_until_verified,Preliminary takeover register generated from inherited artifacts; no full-text verification performed in this run.
DOC_63f8a11a2909,"afghanistan iran trade and transit agreements, li...",,"afghanistan iran trade and transit agreements, li....docx","SOURCE_ARCHIVE/AMBIJAT2GDRIVE/afghanistan iran trade and transit agreements, li....docx",.docx,.docx,8422,0.01,AMBIJAT2GDRIVE,AMBIJAT2GDRIVE,True,False,"afghanistan iran trade and transit agreements, li....docx|8422",1,False,Core,metadata_only,unverified,inventory_only_until_verified,Preliminary takeover register generated from inherited artifacts; no full-text verification performed in this run.
DOC_3651e5c65198,annual_pass_receipt,,annual_pass_receipt.pdf,SOURCE_ARCHIVE/AMBIJAT2GDRIVE/annual_pass_receipt.pdf,.pdf,.pdf,221437,0.21,AMBIJAT2GDRIVE,AMBIJAT2GDRIVE,True,False,annual_pass_receipt.pdf|221437,1,False,Peripheral,metadata_only,unverified,inventory_only_until_verified,Preliminary takeover register generated from inherited artifacts; no full-text verification performed in this run.
DOC_ba392dc00490,CPCS_D_17_00020,,CPCS_D_17_00020.pdf,SOURCE_ARCHIVE/AMBIJAT2GDRIVE/CPCS_D_17_00020.pdf,.pdf,.pdf,655895,0.63,AMBIJAT2GDRIVE,AMBIJAT2GDRIVE,True,False,cpcs_d_17_00020.pdf|655895,1,False,Peripheral,metadata_only,unverified,inventory_only_until_verified,Preliminary takeover register generated from inherited artifacts; no full-text verification performed in this run.
DOC_fa7f18241c15,GIS for the Area Studies,,GIS for the Area Studies.docx,SOURCE_ARCHIVE/AMBIJAT2GDRIVE/GIS for the Area Studies.docx,.docx,.docx,236629,0.23,AMBIJAT2GDRIVE,AMBIJAT2GDRIVE,True,False,gis for the area studies.docx|236629,1,False,Peripheral,metadata_only,unverified,inventory_only_until_verified,Preliminary takeover register generated from inherited artifacts; no full-text verification performed in this run.
DOC_c8385caded87,houseallotment,,houseallotment.pdf,SOURCE_ARCHIVE/AMBIJAT2GDRIVE/houseallotment.pdf,.pdf,.pdf,268617,0.26,AMBIJAT2GDRIVE,AMBIJAT2GDRIVE,True,False,houseallotment.pdf|268617,1,False,Peripheral,metadata_only,unverified,inventory_only_until_verified,Preliminary takeover register generated from inherited artifacts; no full-text verification performed in this run.
DOC_579a359e7239,neeti_full,,neeti_full.pdf,SOURCE_ARCHIVE/AMBIJAT2GDRIVE/neeti_full.pdf,.pdf,.pdf,39552640,37.72,AMBIJAT2GDRIVE,AMBIJAT2GDRIVE,True,False,neeti_full.pdf|39552640,1,False,Peripheral,metadata_only,unverified,inventory_only_until_verified,Preliminary takeover register generated from inherited artifacts; no full-text verification performed in this run.
DOC_fdc88900334e,pihumedicalbills,,pihumedicalbills.pdf,SOURCE_ARCHIVE/AMBIJAT2GDRIVE/pihumedicalbills.pdf,.pdf,.pdf,5914986,5.64,AMBIJAT2GDRIVE,AMBIJAT2GDRIVE,True,False,pihumedicalbills.pdf|5914986,1,False,Noise,metadata_only,unverified,inventory_only_until_verified,Preliminary takeover register generated from inherited artifacts; no full-text verification performed in this run.
DOC_a62a23c1be51,LECTURE10a,,LECTURE10a.pdf,SOURCE_ARCHIVE/AMBIJAT2GDRIVE/MAIS529N/LECTURE10a.pdf,.pdf,.pdf,1978044,1.89,AMBIJAT2GDRIVE,MAIS529N,True,False,lecture10a.pdf|1978044,1,False,Peripheral,metadata_only,unverified,inventory_only_until_verified,Preliminary takeover register generated from inherited artifacts; no full-text verification performed in this run.
