idx,file,axis,folder,title,total_pages,thesis_verdict,thesis_confidence,verdict_status,argument_quote,argument_quote_verified,concepts_seen,concepts_total,peripheral_notes,route
1,Barry_Buzan_George_Lawson_The_Global_Transforma.pdf,mixed,International Relations Theory,"The Global Transformation: History, Modernity and the Making of International Relations",417,SUPPORTED,0.93,claim_sampled_supported,Global modernity reconstituted the mode of power that underpinned international order and opened a power gap between those who harnessed the revolutions of modernity and those who were denied access to them.,True,5,6,"All six key concepts appear directly in the sampled slice, mostly within the identical blurb passage repeated across front matter and chapter sample; the TOC (chapters on core-periphery order, catch-u",provisional_accept
2,Nations at War A Scientific Study of International Conflict Geller Singer.pdf,empirical,International Relations Theory,Nations at War: A Scientific Study of International Conflict,260,SUPPORTED,0.9,claim_sampled_supported,"Nations at war provides an explanation of war in international politics grounded on data-based, empirical research.",True,6,6,All six key concepts appear directly in the front-matter/TOC/introduction slice with clear term-level and argument-level evidence; no mismatch signals - genre (quantitative IR/Correlates of War tradit,provisional_accept
3,Ideology_and_International_relations.pdf,theory,International Relations Theory,Ideology and International Relations in the Modern World,317,SUPPORTED,0.9,claim_sampled_supported,"That is the phenomenon of nationalism—the sort of ideology that, according to one authority on nationalism, 'can have a political impact only if presented in simplified forms and embodied in symbols and ceremonials'.",True,5,6,"All six key concepts appear directly in the front matter/TOC/introduction sample, either as chapter headings or thematic descriptions from the publisher's blurb and preface. The thesis is stated almos",provisional_accept
4,Theory and metatheory in international relations.pdf,method,International Relations Theory,Theory and Metatheory in International Relations: Concepts and Contending Accounts,234,SUPPORTED,0.9,claim_sampled_supported,It attempts to show why anyone who wants to solve foreign policy problems must understand theories of international relations and the philosophical issues involved in determining how to choose the best theory.,True,4,5,"All five probed concepts appear in the sampled slice, mostly in TOC/Preface material rather than deep chapter argumentation; 'positivist' term itself not verbatim seen, only 'Scientific Approach/Crite",provisional_accept
5,Does_ethnofederalism_explain_the_success_of_Indian_federalism.pdf,empirical,Social Science Theories and Geography,Does ethnofederalism explain the success of Indian federalism?,25,SUPPORTED,0.78,claim_sampled_supported,India has simultaneously been both a success and a failure at conflict management.,True,6,6,"All six key concepts appear directly in the sampled slice as term-level evidence, consistent with the claim's framing. The slice does not yet contain explicit sentences tying conflict specifically to ",provisional_accept
6,why_islamism_is_winning.pdf,theory,Social Science Theories and Geography,Why Islamism Is Winning,3,SUPPORTED,0.8,claim_sampled_supported,"Rather than bringing secular revolutionaries to power, the Arab Spring is producing flowers of a decidedly Islamist hue... So why are so many Arabs voting for parties that seem politically regressive to Westerners? The West's own history furnishes an answer... frustrated people in many nations with ",True,5,5,Slice consistently supports the historical-parallel argument across all probed concepts.,provisional_accept
7,ratzel_and_demography.pdf,mixed,Social Science Theories and Geography,Ratzel and Demography,13,PARTIAL,0.55,claim_sampled_partial,"Ethnography does not recognize nonreligious peoples, but only different evolutionary stages of religious ideas, which in some peoples are described as that of the chrysalis, small and hidden, while others have created numerous myths and legends.",False,4,5,"INTRO excerpt is about intellectual heroes/great statesmen and labor-class conflict, not demography; no demographic data or argument visible in the slice to support that part of the thesis.",HUMAN_REVIEW_below_gate
8,30_1.pdf,method,semiotics,Overview of the Semiotics of Maps,12,SUPPORTED,0.95,claim_sampled_supported,"Its subject matter is subsumed under five major themes: map symbolism (map language), sign processes, contexts in which signs and sign processes are embedded, marginal notes, and peripheral signification phenomena.",True,4,5,"All five key concepts and both marginal notes/peripheral signification themes named in the thesis appear explicitly and are structurally central (Table 1 lists all five as section headings), so no mis",provisional_accept
9,AG_660_0159.pdf,mixed,semiotics,Cultural Cartography: Maps and Mapping in Cultural Geography,21,SUPPORTED,0.95,claim_sampled_supported,"Over the past three decades, significant shifts in both the theory and practice of cartography and indeed in the definition of the map itself have transformed the role of mapping within geography, while maps and map making have become a focus for important contemporary connections between cultural g",True,2,6,"Slice covers intro/citations/art-history background (Schulz, Alpers, Harley) but lacks Land Art/site-specific or spatial documentation sections.",provisional_accept
10,Structural Realism Structure Object and Causality.pdf,theory,cognitive_philiosophy,"Structural Realism: Structure, Object, and Causality",226,SUPPORTED,0.9,claim_sampled_supported,But there is a general convergence on the idea that a central role is to be played by relational aspects over object-based aspects of ontology—whether this reflects a fundamental fact about the world (the ontological thesis)—as opposed to our engagement with it (the epistemological thesis)—introduce,True,5,6,"All six key concepts appear in the sampled text, several with direct argument-level context rather than mere mention. The book is a multi-author edited philosophy-of-science volume (Springer, Western ",provisional_accept
11,Discourse Analysis as Theory and Method.pdf,method,cognitive_philiosophy,Discourse Analysis as Theory and Method,240,SUPPORTED,0.97,claim_sampled_supported,"In the book, we demonstrate the scope of the field by present─ing and discussing three different approaches to discourse analysis – Laclau and Mouffe’s discourse theory, critical discourse analysis and discursive psychology. We aim to delineate the distinctive theoretical and methodological features",True,5,6,"The folder axis 'cognitive_philiosophy' and provisional axis 'method' seem mismatched to the book's actual field (communication/discourse studies, published by SAGE, Roskilde Dept of Communication) ra",provisional_accept
12,Regional Action Plan towards the Information Society in Asia and the Pacific by United Nations.pdf,empirical,Statistical Analysis and Research Methods,Regional Action Plan towards the Information Society in Asia and the Pacific,147,SUPPORTED,0.85,claim_sampled_supported,"Barriers to bridging the digital divide include: a lack of coherent and integrated ICT policies and regulatory frameworks; a lack of awareness among stakeholders, including policymakers, concerning the benefits of ICT for socio-economic development; low skill levels or capacity among ICT stakeholder",True,5,5,"All five key concepts appear with more than trivial context (policy/argument framing, not just passing mention). No contradiction signals: genre (UN ESCAP regional action plan/policy document, 2005/20",provisional_accept
13,Russia and the Mongols Slavs and the steppe in medieval and early modern Russia.pdf,mixed,Statistical Analysis and Research Methods,Russia and the Mongols: Slavs and the Steppe in Medieval and Early Modern Russia,349,PARTIAL,0.55,claim_sampled_partial,"Charles J. Halperin remained true to what he was mainly preoccupied in his youth, namely with the relat…",True,3,7,"Book is a reprint collection of Halperin's articles from 1975-2005, edited by Spinei and Bilavschi.",HUMAN_REVIEW_below_gate
14,HISTOLOGY A Text and Atlas with Correlated Cell and Molecular Biology.pdf,method,Statistical Analysis and Research Methods,Histology: A Text and Atlas with Correlated Cell and Molecular Biology,1002,SUPPORTED,0.75,claim_sampled_supported,Histology A TEXT AND ATLAS With Correlated Cell and Molecular Biology,True,2,5,No explicit sentence in the slice states the pedagogical purpose ('foundational knowledge for medical and biological science students') verbatim; this is inferred from front-matter/publisher context (,provisional_accept
15,To Lead the Free World American Nationalism and the Cultural Roots of the Cold War.pdf,mixed,Classical Political Philosophy,To Lead the Free World: American Nationalism and the Cultural Roots of the Cold War,270,SUPPORTED,0.88,claim_sampled_supported,"The decision to focus on these four areas reflects, on the one hand, an interest in the relative roles of the government and the media in fostering the Cold War consensus and, on the other hand, an interest in the relationships between race, class, and American nationalism.",True,5,5,"The folder axis 'Classical Political Philosophy' and provisional axis 'mixed' appear mismatched with the actual content, which is a work of cultural/diplomatic history (public culture, mass media, lab",provisional_accept
16,_We_have_to_go_Afghans_ready_to_flee_country_as_foreign_troop.pdf,empirical,Advaita Vedanta and International Relations,We have to go: Afghans ready to flee country as foreign troops withdraw,2,SUPPORTED,0.75,claim_sampled_supported,"As tens of thousands of American troops prepare to withdraw from Afghanistan in time for the 2014 deadline set by the White House, another exodus is gathering pace: Afghans fleeing their country’s violence and economic uncertainty.",True,3,5,"This is a short news article (2 pages), not a book chapter or academic monograph, despite being filed under 'Advaita Vedanta and International Relations' — a folder title with no discernible connectio",provisional_accept
17,"Practical Exam Format May, 2020.pdf",empirical,Advaita Vedanta and International Relations,Practical Exam Format May 2020,1,CONTRADICTED,0.95,flagged_contradicted,,,0,0,"No key concepts were listed to check, and none appear in the text. The document is an exam attendance/award sheet, not a scholarly work; it does not match the folder's implied subject matter (Advaita ",HUMAN_REVIEW_contradiction
18,abiword_job__2_job_287.pdf,mixed,Advaita Vedanta and International Relations,Advaita Vedanta and International Relations,8,UNREADABLE,0.0,blocked_unreadable,,,0,5,"All five key concepts returned NOT FOUND in the concept probes, and the raw text samples themselves are illegible garbled character strings rather than readable prose, preventing any verification of s",unreadable
